Text,Topic
What are the symptoms of COVID-19 What should I know?,Health
How to prepare for a job interview,Career
How do I invest in the stock market What should I know?,Finance
How do I invest in the stock market What should I know?,Finance
How to prepare for a job interview What should I know?,Career
The government announced a new education policy. Can you help?,Education
The government announced a new education policy. I need details.,Education
The government announced a new education policy. Please explain.,Education
What are the effects of global warming I need details.,Environment
Python is a great programming language. What's important?,Programming
Python is a great programming language. Please explain.,Programming
What are the effects of global warming What's important?,Environment
Renewable energy is the future. Can you help?,Energy
Tips to stay mentally healthy. What should I know?,Mental Health
Python is a great programming language. Any advice?,Programming
Tips to stay mentally healthy. Any advice?,Mental Health
What are the effects of global warming What's important?,Environment
Tips to stay mentally healthy. I need details.,Mental Health
How to prepare for a job interview What should I know?,Career
How to prepare for a job interview Any advice?,Career
Tips to stay mentally healthy.,Mental Health
How to bake a chocolate cake Can you help?,Cooking
How to bake a chocolate cake Please explain.,Cooking
Renewable energy is the future.,Energy
What are the symptoms of COVID-19 I need details.,Health
What are the effects of global warming Can you help?,Environment
What are the symptoms of COVID-19 Can you help?,Health
What are the effects of global warming Please explain.,Environment
What is the capital of France What's important?,Geography
How to prepare for a job interview Can you help?,Career
Python is a great programming language. What should I know?,Programming
What are the effects of global warming Please explain.,Environment
Python is a great programming language. Can you help?,Programming
Renewable energy is the future. What should I know?,Energy
The government announced a new education policy. What should I know?,Education
What are the effects of global warming Please explain.,Environment
How to prepare for a job interview Any advice?,Career
What are the symptoms of COVID-19 What should I know?,Health
What are the effects of global warming Can you help?,Environment
Python is a great programming language.,Programming
What are the effects of global warming What's important?,Environment
The government announced a new education policy. Please explain.,Education
What are the symptoms of COVID-19,Health
Python is a great programming language. What's important?,Programming
How to prepare for a job interview,Career
How to prepare for a job interview What should I know?,Career
How do I invest in the stock market Any advice?,Finance
What are the symptoms of COVID-19 What's important?,Health
What is the capital of France What should I know?,Geography
What are the symptoms of COVID-19 Any advice?,Health
The government announced a new education policy.,Education
How to bake a chocolate cake Any advice?,Cooking
